#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	notice
#open	2026-04-24-16-58-35
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	fuid	file_mime_type	file_desc	proto	note	msg	sub	src	dst	p	n	peer_descr	actions	email_dest	suppress_for	remote_location.country_code	remote_location.region	remote_location.city	remote_location.latitude	remote_location.longitude
#types	time	string	addr	port	addr	port	string	string	string	enum	enum	string	string	addr	addr	port	count	string	set[enum]	set[string]	interval	string	string	string	double	double
1777050056.681908	Ckahb916TNNRyChqw1	172.18.0.3	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 39 pkts in 4.60 sec	-	172.18.0.3	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050061.397667	CeImrV1vmV52itG1Fb	192.168.1.201	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 238 pkts in 4.99 sec	-	192.168.1.201	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050066.417246	C1wXpi4dYjfQYuh4i	192.168.1.201	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 246 pkts in 5.00 sec	-	192.168.1.201	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050071.431146	CEl0ict4ubbHVx6B5	192.168.1.201	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 226 pkts in 4.99 sec	-	192.168.1.201	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050076.446380	CkUzAM2NHrDNggafHa	192.168.1.201	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 221 pkts in 4.99 sec	-	192.168.1.201	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050081.455708	CaCRKp4dtqZoSS8FF1	192.168.1.201	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 220 pkts in 4.99 sec	-	192.168.1.201	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050086.531392	CIXQaf2hXk84ER1mnl	192.168.1.201	20	172.18.0.3	80	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 273 pkts in 4.92 sec	-	192.168.1.201	172.18.0.3	80	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050091.394395	Cp7dpAVmPl6LaPxv6	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.04 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050097.455482	CBR7FedfDBtvF5kP8	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.03 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050103.502478	C1tkuQ1yQLMw4Rrxcl	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.03 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050109.551568	CcvxIgsg3dOSIEDif	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.04 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050115.616004	CYX7VR2yNb3JeA4OL4	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.04 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050121.675811	C0guvbAXd71zLWTYi	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.04 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050127.734857	CZgTYd2uoBsqgZ53l6	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.03 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050133.785486	C0wV5T17zcFwlEgo7f	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.03 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050139.837173	CYoFa83TEXTSPgbF28	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.03 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
1777050145.881581	CUeIKd1qUTbDk3ekV2	192.168.1.202	20	172.18.0.3	443	-	-	-	tcp	MLDetector::ConnectionAnomaly	Anomalous connection: 3 pkts in 4.03 sec	-	192.168.1.202	172.18.0.3	443	-	-	Notice::ACTION_LOG	(empty)	3600.000000	-	-	-	-	-
